date,entity,score
21/2/20,1inch.exchange,50.02197166
25/2/20,1inch.exchange,1.436113346
18/6/20,1inch.exchange,1.529972604
29/6/20,1inch.exchange,50.74818108
10/2/20,ABCC,0.779949329
24/2/20,ABCC,1.697377323
5/3/20,ABCC,38.37817148
11/3/20,ABCC,86.8251623
26/3/20,ABCC,0.672276942
19/6/20,ABCC,73.34940798
22/6/20,ABCC,0.662897498
23/6/20,ABCC,4.497913973
30/6/20,ABCC,0.587248138
5/3/20,Aave,0.676022073
11/3/20,Aave,0.641846341
24/4/20,Aave,0.691675062
7/5/20,Aave,0.650449774
13/5/20,Aave,1.233069562
18/5/20,Aave,0.526631245
11/6/20,Aave,0.670391551
12/6/20,Aave,0.656099434
18/6/20,Aave,0.614667652
19/6/20,Aave,0.556479937
29/6/20,Balancer,74.14615281
17/6/20,Bamboo Relay,0.572316697
9/1/20,Bancor,0.705921633
16/1/20,Bancor,0.650088578
11/6/20,Bancor,0.732433769
18/6/20,Bancor,99.17960993
22/1/20,Basic Attention Token,0.779954126
13/4/20,Basic Attention Token,0.672353046
16/4/20,Basic Attention Token,1.261845706
27/6/20,Basic Attention Token,0.545667206
24/6/20,BigONE,0.86047514
3/1/20,Binance,1.367082242
6/1/20,Binance,0.547479155
8/1/20,Binance,0.582223223
9/1/20,Binance,0.707252114
16/1/20,Binance,96.68212319
17/1/20,Binance,0.560578715
19/1/20,Binance,85.44218705
20/1/20,Binance,0.782091567
24/1/20,Binance,0.6473572
29/1/20,Binance,0.571753807
30/1/20,Binance,0.689420118
31/1/20,Binance,0.681923811
6/2/20,Binance,0.645382077
7/2/20,Binance,0.591855449
11/2/20,Binance,0.544690555
13/2/20,Binance,0.578231428
17/2/20,Binance,0.557710746
18/2/20,Binance,0.720165745
21/2/20,Binance,0.763919453
22/2/20,Binance,2.141760409
23/2/20,Binance,1.643536789
25/2/20,Binance,0.532131879
26/2/20,Binance,0.566762879
27/2/20,Binance,0.613720453
2/3/20,Binance,0.761319816
3/3/20,Binance,0.553762982
6/3/20,Binance,0.889849134
17/3/20,Binance,0.595672317
25/3/20,Binance,1.188159592
31/3/20,Binance,0.567699813
2/4/20,Binance,0.628465286
4/4/20,Binance,0.550329708
5/4/20,Binance,5.57310702
6/4/20,Binance,91.78072001
8/4/20,Binance,0.859642104
9/4/20,Binance,98.74078287
10/4/20,Binance,11.05770318
17/4/20,Binance,0.612939072
18/4/20,Binance,0.845440847
27/4/20,Binance,0.540700068
29/4/20,Binance,57.83356435
30/4/20,Binance,0.659552171
1/5/20,Binance,0.671080466
2/5/20,Binance,0.752333273
7/5/20,Binance,0.645418769
8/5/20,Binance,0.555701787
10/5/20,Binance,1.788135955
12/5/20,Binance,0.660618784
13/5/20,Binance,99.14999969
14/5/20,Binance,99.11603939
19/5/20,Binance,0.52595648
22/5/20,Binance,0.555096496
23/5/20,Binance,0.69147333
24/5/20,Binance,0.96657742
27/5/20,Binance,4.584186519
5/6/20,Binance,0.850982837
6/6/20,Binance,17.99694158
7/6/20,Binance,1.356192049
11/6/20,Binance,1.107178688
12/6/20,Binance,0.609972533
14/6/20,Binance,33.54922008
17/6/20,Binance,0.63696133
18/6/20,Binance,0.558183786
22/6/20,Binance,0.535526015
24/6/20,Binance,0.52930993
26/6/20,Binance,0.51916162
29/6/20,Binance,0.643027904
27/2/20,Bitbox,0.639096379
2/3/20,Bitbox,8.640410669
27/4/20,Bitbox,1.296705378
11/6/20,Bitbox,0.548032443
24/6/20,Bitbox,0.518023984
10/1/20,Bitfinex,15.43244601
11/1/20,Bitfinex,50.12196057
12/1/20,Bitfinex,95.58748863
16/1/20,Bitfinex,20.0414349
17/1/20,Bitfinex,0.801913704
29/1/20,Bitfinex,52.19270767
31/1/20,Bitfinex,0.76662066
12/2/20,Bitfinex,0.528287473
18/2/20,Bitfinex,8.900250437
28/2/20,Bitfinex,73.78301857
29/2/20,Bitfinex,0.821945789
2/3/20,Bitfinex,0.669424113
3/3/20,Bitfinex,95.70944967
8/3/20,Bitfinex,1.126291882
12/3/20,Bitfinex,0.697509672
16/3/20,Bitfinex,0.634333521
27/3/20,Bitfinex,0.717016792
30/3/20,Bitfinex,96.46479345
13/4/20,Bitfinex,0.783924522
15/4/20,Bitfinex,1.042962664
3/5/20,Bitfinex,0.665944412
13/5/20,Bitfinex,0.670675478
15/5/20,Bitfinex,0.566610265
21/5/20,Bitfinex,4.126715657
22/5/20,Bitfinex,76.5734151
27/5/20,Bitfinex,2.19573682
2/6/20,Bitfinex,99.24417896
4/6/20,Bitfinex,28.6011234
6/6/20,Bitfinex,3.120814808
11/6/20,Bitfinex,50.48710425
12/6/20,Bitfinex,82.22326871
13/6/20,Bitfinex,1.176739668
21/6/20,Bitfinex,1.243019617
24/6/20,Bitfinex,1.30095963
22/1/20,Bithumb,51.75341689
13/2/20,Bithumb,98.00431402
17/2/20,Bithumb,0.560447954
10/3/20,Bithumb,0.518156585
11/3/20,Bithumb,0.521936928
13/3/20,Bithumb,1.099905562
30/3/20,Bithumb,1.250185894
10/4/20,Bithumb,1.733196264
13/4/20,Bithumb,2.842046577
15/4/20,Bithumb,0.679366035
15/5/20,Bithumb,1.975947849
25/5/20,Bithumb,0.688461844
24/6/20,Bithumb,0.666778282
19/6/20,Bitpanda,0.545227336
23/6/20,Bitstamp,0.549640125
8/6/20,Bittrex,95.78842581
17/6/20,Bittrex,0.537971518
21/6/20,Bittrex,0.58543965
28/4/20,Blockchain Cuties,0.550918386
21/5/20,Blockfi,1.655155454
12/6/20,Cobinhood,2.093585299
18/1/20,Coinbase,0.731107205
28/1/20,Coinbase,0.545638871
31/1/20,Coinbase,0.538514611
19/2/20,Coinbase,0.541992803
25/2/20,Coinbase,86.5081219
26/2/20,Coinbase,0.712399666
27/2/20,Coinbase,0.648146166
28/2/20,Coinbase,0.654973745
2/3/20,Coinbase,0.513767678
3/3/20,Coinbase,27.48678262
16/3/20,Coinbase,0.707139043
