Unnamed: 0,date_time,title,excerpt,domain,article_url,entity,pred,raw_output_0,raw_output_1,text,prob
0,2020-02-21 00:00:00,bZx attacks and 1inch.exchange allegations: Here's what the ...,"1inch.exchange, a decentralized exchange (DEX) aggregator, has alleged that it found a $2.5 million worth of vulnerability in bZx's Fulcrum lending protocol over a ...",The Block Crypto,https://www.theblockcrypto.com/post/56579/bzx-attacks-and-1inch-exchange-allegations-heres-what-the-teams-have-to-say,1inch.exchange,1,-2.0163469314575195,2.0567524433135986,"bZx attacks and 1inch.exchange allegations: Here's what the ...1inch.exchange, a decentralized exchange (DEX) aggregator, has alleged that it found a $2.5 million worth of vulnerability in bZx's Fulcrum lending protocol over a ...",0.983260452747345
18,2020-03-05 00:00:00,Meet Stani Kulechov - Founder and CEO of Aave - DeFi ...,ETHLend – the first lending project on Ethereum; Surviving Crypto Winter; The Aave Rebrand; The Importance of Memeing; LEND Tokenomics; Open-Sourced ...,DeFi Rate,https://defirate.com/aave-interview/,Aave,0,1.5221068859100342,-1.7290931940078735,Meet Stani Kulechov - Founder and CEO of Aave - DeFi ...ETHLend – the first lending project on Ethereum; Surviving Crypto Winter; The Aave Rebrand; The Importance of Memeing; LEND Tokenomics; Open-Sourced ...,0.037283796817064285
20,2020-03-11 00:00:00,DeFi SAaver: Maker Vault Management Using Flash Loans,"With that, DeFi Saver – a platform giving users with advanced control over Maker CDP (recently rebranded to Vault) exposure and debt – teamed up with Aave to ...",DeFi Rate,https://defirate.com/defi-saaver/,Aave,0,1.5206472873687744,-1.7283000946044922,"DeFi SAaver: Maker Vault Management Using Flash LoansWith that, DeFi Saver – a platform giving users with advanced control over Maker CDP (recently rebranded to Vault) exposure and debt – teamed up with Aave to ...",0.03736473247408867
25,2020-04-24 00:00:00,Aave Introduces Risk Framework for Asset Selection - DeFi ...,Aave's Risk Framework has been released! Take a look at the docs for a comprehensive analysis of the fundamental risks of the protocol and the processes in ...,DeFi Rate,https://defirate.com/aave-risk-framework/,Aave,0,1.523270845413208,-1.7357975244522095,Aave Introduces Risk Framework for Asset Selection - DeFi ...Aave's Risk Framework has been released! Take a look at the docs for a comprehensive analysis of the fundamental risks of the protocol and the processes in ...,0.03700239211320877
26,2020-05-07 00:00:00,Aave Teases New DeFi Collateral & LEND Governance System,"For those who have been keeping an eye on the DeFi Pulse leaderboard, you've surely seen the spooky project Aave creeping into the #4 spot – recently ...",DeFi Rate,https://defirate.com/aave-lend-governance/,Aave,0,1.523024320602417,-1.7324594259262085,"Aave Teases New DeFi Collateral & LEND Governance SystemFor those who have been keeping an eye on the DeFi Pulse leaderboard, you've surely seen the spooky project Aave creeping into the #4 spot – recently ...",0.03713032975792885
28,2020-05-18 00:00:00,Aave Partners with MYKEY to Promote DeFi - Business Partnerships,"Aave is a decentralized, non-custodial money market protocol while MYKEY is a multiple-chain smart wallet. The reason for this partnership is to make DeFi ...",Altcoin Buzz,https://www.altcoinbuzz.io/cryptocurrency-news/partnerships/aave-partners-with-mykey-to-promote-defi/,Aave,0,1.5281548500061035,-1.7426719665527344,"Aave Partners with MYKEY to Promote DeFi - Business PartnershipsAave is a decentralized, non-custodial money market protocol while MYKEY is a multiple-chain smart wallet. The reason for this partnership is to make DeFi ...",0.036585673689842224
29,2020-05-13 00:00:00,"गणेश वंदना | Watch Popular Bhojpuri Devotional Video Song 'Aave Ke Pari Ae Maiya' Sung By 'Rakesh Mishra'. Popular Bhojpuri Devotional Songs | Bhojpuri Bhakti Songs, Devotional Songs, Bhajans and Pooja Aarti Songs | Lifestyle",Listen to the popular Bhojpuri devotional song 'Aave Ke Pari Ae Maiya' sung by 'Rakesh Mishra'. Watch the video to know more about Rakesh Mishra's ...,Times of India,https://timesofindia.indiatimes.com/videos/lifestyle/devotional/bhojpuri/-watch-popular-bhojpuri-devotional-video-song-aave-ke-pari-ae-maiya-sung-by-rakesh-mishra-popular-bhojpuri-devotional-songs-bhojpuri-bhakti-songs-devotional-songs-bhajans-and-pooja-aarti-songs/videoshow/75712488.cms,Aave,0,1.5073094367980957,-1.7078187465667725,"गणेश वंदना | Watch Popular Bhojpuri Devotional Video Song 'Aave Ke Pari Ae Maiya' Sung By 'Rakesh Mishra'. Popular Bhojpuri Devotional Songs | Bhojpuri Bhakti Songs, Devotional Songs, Bhajans and Pooja Aarti Songs | LifestyleListen to the popular Bhojpuri devotional song 'Aave Ke Pari Ae Maiya' sung by 'Rakesh Mishra'. Watch the video to know more about Rakesh Mishra's ...",0.0386003777384758
35,2020-06-12 00:00:00,Aave Crosses $100M in Market Size - DeFi Lending Growth ...,We've officially reached the $100M market size milestone! 🥂. Much ❤️ to the Aave & DeFi Fam. We could not have done this without all of your feedback ...,DeFi Rate,https://defirate.com/aave-100m-market-size/,Aave,0,1.5171175003051758,-1.7179021835327148,Aave Crosses $100M in Market Size - DeFi Lending Growth ...We've officially reached the $100M market size milestone! 🥂. Much ❤️ to the Aave & DeFi Fam. We could not have done this without all of your feedback ...,0.0378689244389534
36,2020-06-11 00:00:00,"Coinbase may list Aave, Bancor, Ren, Vechain, Synthetix and 13 other cryptocurrencies","Coinbase is currently exploring the addition of 18 new digital assets, which include DeFi tokens such as Aave, Bancor, Ren, VeChain, Aragon, and DigiByte.",CryptoSlate,https://cryptoslate.com/coinbase-may-list-aave-bancor-ren-vechain-synthetix-and-13-other-cryptocurrencies/,Aave,0,1.517535924911499,-1.7288812398910522,"Coinbase may list Aave, Bancor, Ren, Vechain, Synthetix and 13 other cryptocurrenciesCoinbase is currently exploring the addition of 18 new digital assets, which include DeFi tokens such as Aave, Bancor, Ren, VeChain, Aragon, and DigiByte.",0.03745583817362785
40,2020-06-18 00:00:00,"DeFi Tokens Maker, Kyber Network, and Aave Moon Despite Uncertainty in the Market","Meanwhile, Aave could be preparing for a correction after the significant bullish impulse it has gone through. Share this article.",Crypto Briefing,https://cryptobriefing.com/defi-tokens-maker-kyber-network-aave-moon-despite-uncertainty-market/,Aave,0,1.5131540298461914,-1.7162814140319824,"DeFi Tokens Maker, Kyber Network, and Aave Moon Despite Uncertainty in the MarketMeanwhile, Aave could be preparing for a correction after the significant bullish impulse it has gone through. Share this article.",0.03807291388511658
