,data-item-id,data-conversation-id,username,tweet,avatar,date,entity
0,1278371426534395911,1278371426534395911,@nof0m0,"  what do we think about a 2 years + PWO, community driven project, no premine or ICO. Multicurrency wallet out any day? 🔥

*sidechain $SFRX in dev #dex #5secBTC

Bull is near, have u packed? 

egem.io 💎

#egem #ethergem #bitcoin #btc #ltc #ethereum #eth #crypto pic.twitter.com/u8RLnR7BQD
",https://pbs.twimg.com/profile_images/1300857876236435456/MORPmeG2_normal.jpg,2020-07-01,ICO Wallet
1,1278342131912974337,1278342131912974337,@FinTechZoom,"  New article: ""Mysterious bitcoin wallet emptied of almost a billion dollars of cryptocurrency"" has been published on Fintech Zoom - fintechzoom.com/fintech_news_b… @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO
",https://pbs.twimg.com/profile_images/1059887179508473856/716o6otx_normal.jpg,2020-07-01,ICO Wallet
2,1278349873662681088,1278349873662681088,@meghbalok7733," #ICO This project is very interesting for seriYous investment! Join now.... #golikecoin #likecoin #Ethereum #Content-creator #likecoinecosystem #likecoin #GoLikeCoin #LikeCoins #Cloud Wallet (golikecoin.com)
",https://pbs.twimg.com/profile_images/1184526588961939456/qRyJsSs__normal.jpg,2020-07-01,ICO Wallet
3,1278384618568167424,1278384618568167424,@mariacary082," payaccept.net
#payaccept #Nextexchange #IEO #ICO #cryptocurrency #blockchain
PayAccept brings the digital wallet management experience to the masses. We unlock the potential to un-bank millions of people around the world. twitter.com/payaccept/stat…
",https://pbs.twimg.com/profile_images/1237053101288259584/J8X5qvt0_normal.jpg,2020-07-01,ICO Wallet
4,1278433283701964813,1278433283701964813,@LoremCrypto,"  Tokenomics node smart contract Lightning SHA-256 cryptography op return DAG fork BIP Byzantine. Asmap zero-knowledge proof cryptography full node Bitcoin wallet op return confirmation. BIP cryptography blocks ICO Litecoin Nakamoto Bitcoin L
",https://pbs.twimg.com/profile_images/1122629073463848961/IfNFSuNW_normal.png,2020-07-01,ICO Wallet
5,1278236990014722054,1278236990014722054,@LoremCrypto,"  Schnorr node tokenomics DAG immutable exchange confirmation Monero sidechains zero-knowledge proof. Monero pseudonymous wallet confirmation Bitcoin BIP Satoshi. ICO Nakamoto op return smart contract decentralized confirmation Schnorr sidech
",https://pbs.twimg.com/profile_images/1122629073463848961/IfNFSuNW_normal.png,2020-07-01,ICO Wallet
6,1278342687272439809,1278342687272439809,@LoremCrypto,"  Satoshi digital asset Samourai proof of work BIP miner lambo halving confirmation pseudonymous wallet. Blockchain DAG cryptography ICO halving UTXO. Asmap hyperbitcoinization SHA-256 pseudonymous halving sidechains non-fungible token node d
",https://pbs.twimg.com/profile_images/1122629073463848961/IfNFSuNW_normal.png,2020-07-01,ICO Wallet
7,1278325547467038720,1278325547467038720,@ArulmaniShiva,"  BeLL Wallet is the ultimate form of wallet equipped modern and sophisticated security with the aim of being a wallet that is safe and comfortable for its users. Join now
#BeLLCoin #BeLLPlatform #BeLLDEX #blockchain #ethereum #bitcoin #cryptocurrency #ICO #tokensale @BeLLPlatform
",https://pbs.twimg.com/profile_images/1057531384368152577/Js_2Sp5R_normal.jpg,2020-07-01,ICO Wallet
8,1278189282901950465,1278189282901950465,@HITOHIT27929899,"  30CMBT tokenのairdropです^ ^
おなじみ、足し算の後に
⭐️telegram join→join
⭐️Twitter follow
⭐️Facebook like
それぞれusernameで^ ^
最後にETH wallet adressでICO後にもらえるそうです！！
今すぐどうぞ^ ^

 t.me/CoinMarketBras…
",https://pbs.twimg.com/profile_images/1267073203702128642/QEOr-6sf_normal.jpg,2020-06-30,ICO Wallet
9,1278383052851380225,1278383052851380225,@ICO_News_Blog,"  Bitcoin Whale Alarm: Die geheimnisvollste Wallet bewegt 1 Mrd. Dollar an BTC coincorner.ch/2020/07/01/bit…
",https://pbs.twimg.com/profile_images/939205691558039553/zls1sesv_normal.jpg,2020-07-01,ICO Wallet
10,1278359643979304961,1278359643979304961,@sagormondol01,"  One of promising ICO, a good chance to expand your investment portfolio. #golikecoin #likecoin #Ethereum #Content-creator #likecoinecosystem #likecoin #GoLikeCoin #LikeCoins #Cloud Wallet (golikecoin.com)
",https://pbs.twimg.com/profile_images/1168244883875696640/YEtryVpu_normal.jpg,2020-07-01,ICO Wallet
11,1278359607014854656,1278359607014854656,@sagormondol01,"  Every day The number of users who want to invest in ICO is increasing and ICO is one of the best ways to invest. Immediately join. #golikecoin #likecoin #Ethereum #Content-creator #likecoinecosystem #likecoin #GoLikeCoin #LikeCoins #Cloud Wallet (golikecoin.com)
",https://pbs.twimg.com/profile_images/1168244883875696640/YEtryVpu_normal.jpg,2020-07-01,ICO Wallet
12,1278641364146806787,1278641364146806787,@SebastianWols17,"  5/10

ALL IN ONE

Apollo has a great wallet with multiple options like:
-Forging
-DEX
-Leasing
-Voting
-Marketplace
-much more

Unlimited options on unstoppable blockchain 

#crypto #ethereum #business #news #ico #currency pic.twitter.com/5UWzJ1MUsj
",https://pbs.twimg.com/profile_images/957243271989858304/X48lsfF3_normal.jpg,2020-07-02,ICO Wallet
13,1278582651075678208,1278582651075678208,@bedavakoin2,"  FG Wallet #Airdrop app 30$ #jasmy
verified%💯

👉bit.ly/2YR5GCd

Steps
- Download app
- Create account and verify 
- Create jasmy wallet
@cctip_io draw 2000 rtgs 50

#btcusd #ico #usd #btc #crypto #blockchain #bounty #erc20 #ieo #eth
",https://pbs.twimg.com/profile_images/1259267342913155082/kpx1GvOR_normal.jpg,2020-07-01,ICO Wallet
14,1278735275024363521,1278735275024363521,@LoremCrypto,"  Cryptography proof of work wallet blockchain digital asset BIP op return Samourai UTXO ICO. Lambo Schnorr op return BIP moon Litecoin non-fungible token pseudonymous. Transaction Samourai proof of work Satoshi exchange Lightning BIP pseudon
",https://pbs.twimg.com/profile_images/1122629073463848961/IfNFSuNW_normal.png,2020-07-02,ICO Wallet
15,1278756474366410754,1278756474366410754,@FinTechZoom,"  New article: ""Blockchain Bites: BlockFi's Revenue, DEX Volume and a Wallet Bug"" has been published on Fintech Zoom - fintechzoom.com/fintech_news_c… @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO pic.twitter.com/RyWTQUiVAV
",https://pbs.twimg.com/profile_images/1059887179508473856/716o6otx_normal.jpg,2020-07-02,ICO Wallet
16,1278589601783873536,1278589601783873536,@THE_FREE_COIN,"  FREE coin : no ico, bootstrapped but already on 30 exhanges and +39000 wallet holders
",https://pbs.twimg.com/profile_images/1098874575834804224/1YncPXNu_normal.png,2020-07-02,ICO Wallet
17,1278765472675254272,1278765472675254272,@LoremCrypto,"  Moon pseudonymous blocks node halving zero-knowledge proof Schnorr decentralized BIP immutable. Non-fungible token wallet Litecoin cryptography halving hyperbitcoinization node miner. Digital asset sidechains ICO hash rate transaction Ether
",https://pbs.twimg.com/profile_images/1122629073463848961/IfNFSuNW_normal.png,2020-07-02,ICO Wallet
18,1278750374015504386,1278750374015504386,@LoremCrypto,"  Smart contract Satoshi DAG fork Lightning node Monero Schnorr blocks Ethereum wallet ICO. Asmap miner node Szabo digital asset Schnorr. Rekt miner Samourai Lightning Nakamoto non-fungible token zero-knowledge proof UTXO digital asset Schnor
",https://pbs.twimg.com/profile_images/1122629073463848961/IfNFSuNW_normal.png,2020-07-02,ICO Wallet
19,1278579793995247616,1278579793995247616,@ico_booster,"  Researchers Expose Flaw in Bitcoin Wallets That Could Be Exploited for Double-Spending dlvr.it/RZnXHX
",https://pbs.twimg.com/profile_images/991638471746797568/afwxnt7n_normal.jpg,2020-07-01,ICO Wallet
20,1278575774166122497,1278575774166122497,@PawanSomanchi,"  Currency and wallet payments accepted in seconds #Blockchain #cryptocurrency #ico via twinybots.ch payaccept.net
",https://pbs.twimg.com/profile_images/1234794854355369984/b5uzwAtt_normal.jpg,2020-07-01,ICO Wallet
