,data-item-id,data-conversation-id,username,tweet,avatar,date,entity
0,1278286027237531648,1278286027237531648,@AvvZaki,"  Artisanal miners and other mining heartland residents express frustration at the lack of opportunity industrial mining provides - the DRC government should help artisanal miners earn livelihoods by carving out new artisanal mining zones. 
read more...
crisisgroup.org/africa/central…
",https://pbs.twimg.com/profile_images/1297130294546489345/zRlH0Hr9_normal.jpg,2020-07-01,Mining Express
1,1278332067365842944,1278332067365842944,@uekijyo,"  「MINING EXPRESS」がイケルと思える8つの理由！

アルトコインに特化したクラウドマイニングで投資金額が2倍になったら終了という投資案件です
今後世界一のマイニング会社になると思います！
ux.nu/iaOqJ
",https://pbs.twimg.com/profile_images/1037022072646455296/luUcotM7_normal.jpg,2020-07-01,Mining Express
2,1278392144659492864,1278392144659492864,@Mining_Express,"  最大７万円相当のビットコインがもらえるキャンペーン実施中♪
世界最大規模のアルトコインクラウドマイニング！！

無料のLINE＠はこちら↓
bit.ly/2R8csO7
#MiningExpress #マイニングエクスプレス　#マイニング　#ビットコイン　#アルトコイン　#仮想通貨　#暗号通貨
",https://pbs.twimg.com/profile_images/1026139036165885954/iZkMOHtH_normal.jpg,2020-07-01,Mining Express
3,1278150582604197888,1278150582604197888,@Mining_Express,"  気になることがありましたら、お気軽にご連絡ください！！
しっかりとサポートさせていただきます！！

LINE＠はこちら↓
bit.ly/2R8csO7
#MiningExpress #マイニングエクスプレス　#マイニング　#ビットコイン　#アルトコイン　#仮想通貨　#暗号通貨
",https://pbs.twimg.com/profile_images/1026139036165885954/iZkMOHtH_normal.jpg,2020-06-30,Mining Express
5,1278633780933087232,1278633780933087232,@Mining_Express,"  世界最大規模のアルトコインマイニング工場！！
工場内部やプラン説明を公開中！！
 
LINE＠はこちら↓
bit.ly/2R8csO7
#MiningExpress #マイニングエクスプレス　#マイニング　#ビットコイン　#アルトコイン　#仮想通貨　#暗号通貨
",https://pbs.twimg.com/profile_images/1026139036165885954/iZkMOHtH_normal.jpg,2020-07-02,Mining Express
6,1278491069349535744,1278491069349535744,@IAmDavidBryant,"  AEW has a goldmine with Jurassic Express, and it's about time they started mining.

Such a deserved win.

#AEWDynamite #FyterFest
@luchasaurus
@boy_myth_legend
@realmarkostunt
",https://pbs.twimg.com/profile_images/1165473210693050369/OWW_0-a4_normal.jpg,2020-07-01,Mining Express
7,1278512973779107840,1278512973779107840,@Mining_Express,"  LINE＠では最新情報やセミナー情報をお知らせします！
また、個別のサポートもしております！
ぜひご参加ください♪

LINE＠はこちら↓
bit.ly/2R8csO7
#MiningExpress #マイニングエクスプレス　#マイニング　#ビットコイン　#アルトコイン　#仮想通貨　#暗号通貨
",https://pbs.twimg.com/profile_images/1026139036165885954/iZkMOHtH_normal.jpg,2020-07-01,Mining Express
9,1278861193902317568,1278861193902317568,@georgefwoods,"  In NSW, public hearings about mining projects are proxies for rural people to express anguish over the legacy impact of decades of neoliberal trade and economic policies on communities. It's mining or bust, with all environmental, cultural & social trade-offs that demands
",https://pbs.twimg.com/profile_images/378800000315867185/403b928547e8b7e8979454ebeef56c03_normal.jpeg,2020-07-02,Mining Express
10,1279157208651952129,1279157208651952129,@ATUM_bio,"  Gold mining creates large volumes of very toxic #cyanide wastewater. @icesi @TAMU express recombinant cyanide dehydratase from @ATUM_bio constructs and show environmental #biodegradation of 70% of cyanide in wastewater scholar.google.com/scholar_url?ur… pic.twitter.com/L0VlErpZPD
",https://pbs.twimg.com/profile_images/807021515635990528/JQOyuPcC_normal.jpg,2020-07-03,Mining Express
11,1279052892910039042,1279052892910039042,@nel_bros,"  Nelson Brothers wishes you a safe & happy Independence Day weekend! 

Remember that freedom is not free. Take time to express your gratitude for the men & women who have sacrificed to preserve our American way of life. 🇺🇸

#independenceday #freedom #USA #mining
",https://pbs.twimg.com/profile_images/1275112786100715520/6gUcPOTn_normal.jpg,2020-07-03,Mining Express
12,1278927121004392449,1278927121004392449,@kibamp3,"  i lvoe them so much i love them so mcuh worsds cannot express but mining is so hard right bwo
",https://pbs.twimg.com/profile_images/1311561504693514240/bfq6SNLI_normal.jpg,2020-07-02,Mining Express
17,1279781883790766082,1279781883790766082,@TruthDare13,"  Biased one sided theory manufactured by ram singh and bhag singh, themselves mining mafia. FIR No. 29 of 12 june on two tippers '' left away by Indian express ''. Journalism without fieldwork is nothing but porn.
",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2020-07-05,Mining Express
19,1279834145607188481,1279834145607188481,@Mining_Express,"  工場内部の写真を公開中！！
ビットコインがもらえるキャンペーンもお見逃しなく♪

LINE＠はこちら↓
bit.ly/2R8csO7
#MiningExpress #マイニングエクスプレス　#マイニング　#ビットコイン　#アルトコイン　#仮想通貨　#暗号通貨
",https://pbs.twimg.com/profile_images/1026139036165885954/iZkMOHtH_normal.jpg,2020-07-05,Mining Express
21,1280263662029037569,1280263662029037569,@gregbrown_TheOz,"  The Labor mayor of Townsville, Jenny Hill, has urged the federal ALP to select regional Queensland candidates who are “truly representative of the community” and give them freedom to publicly express support of new mining projects. #auspol theaustralian.com.au/nation/politic…
",https://pbs.twimg.com/profile_images/1111467525307420674/Uyp6InLX_normal.png,2020-07-06,Mining Express
26,1280342687585955840,1280342687585955840,@australian,"  Townsville’s Labor mayor has urged the federal ALP to select regional Queensland candidates who are allowed to publicly express support of new mining projects.
bit.ly/2Z5azb1
",https://pbs.twimg.com/profile_images/1199202254919589889/Z_8DATUl_normal.png,2020-07-06,Mining Express
27,1280503572027899909,1280503572027899909,@kobiosama,"  If my machine broke and theres no express way to fix it i’d rather jumped into the mine and haunting the whole mining season twitter.com/DiscoveryUK/st…
",https://pbs.twimg.com/profile_images/1270044086980898820/xOAgM20G_normal.jpg,2020-07-07,Mining Express
31,1280493678243360768,1280493678243360768,@koyatitan,"  👉PAGKAKAKITAAN BA? 
✋Walang ilalabas na pera. LEGIT GUYS.
👉May PROMO si MINING PH. 
👉FREE 💵150 pesos agad.

👇👇Heres the link.👇👇 MiningPH.com/startnow/19396…

✋After register answer 3 surveys to verify your account.

👍Cash Out Thru.
👍Palawan Pera Padala Express.💵
",https://pbs.twimg.com/profile_images/1222072917120303104/d6uvrFrz_normal.jpg,2020-07-07,Mining Express
36,1281159875423133696,1281159875423133696,@heidi_k_edmonds,"  ""As I explain in my book...News Corp began...in 1922 as News Limited...a company...secretly established by a mining company owned by the most powerful industrialists of the day, and it was created for the express purpose of disseminating “propaganda”.""

theconversation.com/the-secret-his…
",https://pbs.twimg.com/profile_images/1071981176083034112/Br1chwTr_normal.jpg,2020-07-09,Mining Express
37,1281067378730663936,1281067378730663936,@KirstenDiprose,"  Hang in there good local journos. Funding issues have been overcome before. This is the first edition of the newspaper in White Cliffs,1897. An outback NSW opal mining town. It notes the “heavy expense...including the running backwards and forwards of a special horse express”. pic.twitter.com/UXkG51WRFS
",https://pbs.twimg.com/profile_images/802379386661969921/WNW3YaPx_normal.jpg,2020-07-08,Mining Express
38,1281142251129720832,1281142251129720832,@sinarmas_mining,"  [Calling all our employees] Now every employee can express their opinions, ideas and aspirations in papers through ‘SMM Got Talent - Writing, Connecting’. 

Submit your writing as soon as possible before the due date of submission. Good luck! pic.twitter.com/oOIpDeuhpt
",https://pbs.twimg.com/profile_images/1032914954012123136/yQN26si3_normal.jpg,2020-07-09,Mining Express
42,1281527367245148162,1281527367245148162,@RiveraSunAuthor,"  SteamDrills -Words cannot express to you the tragedy of the ecological holocaust in the Coal mining regions. #MTR ClimateChange 5Star
",https://pbs.twimg.com/profile_images/1140324228182319104/KYAXYA3R_normal.png,2020-07-10,Mining Express
43,1281593578049933312,1281593578049933312,@The_Banks_Group,"  As quoted in the Express piece, Banks invests its mining profits into its renewables business.  See: banksgroup.co.uk/renewables/
",https://pbs.twimg.com/profile_images/461424974306103296/R6gGqpib_normal.jpeg,2020-07-10,Mining Express
48,1282058859566309386,1282058859566309386,@AmericanRoadMag," amroad.net/PonyExpNEOpen range endless vistas sagebrush & mining towns that's Pony Express Territory in Nevada.
",https://pbs.twimg.com/profile_images/989991042454835200/ia0zyzkd_normal.jpg,2020-07-11,Mining Express
49,1281996592673779713,1281996592673779713,@AurobindaBose1,"  Govt must rescue and revive mining sector to boost economic recovery; here's what needs to be done - The Financial Express financialexpress.com/industry/govt-…
",https://pbs.twimg.com/profile_images/1254605244211879943/yXSJRaJG_normal.jpg,2020-07-11,Mining Express
54,1282215269776207872,1282215269776207872,@Btcsasa,"  PCIe Riser PCI Express 1x to 16x Riser Card for Bitcoin Litecoin Mining AC769 ift.tt/3iQ8Qy9
",https://pbs.twimg.com/profile_images/1283769916768870400/31PkXlVL_normal.jpg,2020-07-12,Mining Express
55,1282296674677907458,1282296674677907458,@AmericanRoadMag,"  Hwy 50 is wide open & one of Nevada's most scenic & historic corridors– retracing the Pony Express route & Overland Stagecoach trails w/well-preserved 19th century mining towns. Details here: amroad.net/PonyExpNV pic.twitter.com/zygq38UTAS
",https://pbs.twimg.com/profile_images/989991042454835200/ia0zyzkd_normal.jpg,2020-07-12,Mining Express
59,1282305604170600451,1282305604170600451,@LNUCjmhjVyKWKZp,"  仮装通貨詐欺をもう一件紹介します

マイニングエクスプレス
(Mining Express)

jubilee aceとPGA と違う点は
少額からできるがこちらも
投資系MLMであり
詐欺の可能性が非常に高い
",https://pbs.twimg.com/profile_images/978952332523130880/swyUCrMk_normal.jpg,2020-07-12,Mining Express
60,1282743715270987776,1282743715270987776,@UnamSpace,"  At UNAM Space  we take this opportunity to express our sincere appreciation to @SOLIDWORKSedu for their support and provide us with the tools to meet our goal of building a mining robot for the #URC
",https://pbs.twimg.com/profile_images/1305261940239933441/Vf8Vtg-L_normal.jpg,2020-07-13,Mining Express
61,1282499053826314241,1282499053826314241,@ANTIQUE4UNIQUE,"  Young Americans like this all over tick tock...#Wakingup It baffled me #Potus mentioned shutting it down... Of course as China is using it for data mining perhaps a type of information warfare... But it really resonates well with young adults. Great format to express your self.
",https://pbs.twimg.com/profile_images/1297497223249494016/ZNOaXAoN_normal.jpg,2020-07-12,Mining Express
68,1283260022315642880,1283260022315642880,@BarbaraMcK42,"  Anyone ever known Greens to express concern about: 
- the human cost of cobalt mining 
- the environment implications of wind and solar
- the environmental implications of battery disposal? twitter.com/dunvirkin/stat…
",https://pbs.twimg.com/profile_images/942477496221540352/No-nBANf_normal.jpg,2020-07-14,Mining Express
69,1283334072731750402,1283334072731750402,@wooleeacre,"  It's a gold mining town, it's called hang town with gunfights, wagon trains, pony express.. got a problem with history?? Pretty cool place
",https://pbs.twimg.com/profile_images/1990963491/timmy_the_sheep_normal.jpg,2020-07-15,Mining Express
