,data-item-id,data-conversation-id,username,tweet,avatar,date,entity
0,1278522245674139649,1278522245674139649,@ioNCalzeh," Trade.io
",https://pbs.twimg.com/profile_images/1321311642836230145/tY6_X40C_normal.jpg,2020-07-01,Trade.io
1,1283250474909528065,1283250474909528065,@Klasifyy," TRADE IO AND GIVEAWAYS!! #northKlasifyy Twitch.tv/klasifyy
",https://pbs.twimg.com/profile_images/1297821543687319552/mqWqT6DM_normal.jpg,2020-07-14,Trade.io
2,1286083356900438019,1286083356900438019,@singhabhi,"  I guess Pol. Econ. in dev mostly refers to bureaucrats/politicians or institutions. The ballpoint type example is typically in the Org Econ and firms lit, like Adam Smith's pin factory. Plus some work in trade, IO. But folks work across fields. Ray Fisman, for instance.
",https://pbs.twimg.com/profile_images/1051062384419319808/EdZI0q29_normal.jpg,2020-07-22,Trade.io
3,1287466915250798593,1287466915250798593,@KevinUwU_Wiwii,"  Io solo le envie mi perfil para que me agregara para aser un trade io no sabia que era malo :c   me quedare sin gafas gucci pic.twitter.com/Lxm9MrLPWA
",https://pbs.twimg.com/profile_images/1319688350966681600/btSFyyvC_normal.jpg,2020-07-26,Trade.io
4,1288182110302269440,1288182110302269440,@jaymiller73caca," Trade io
",https://pbs.twimg.com/profile_images/1262522446042689536/hlMZAxv3_normal.jpg,2020-07-28,Trade.io
5,1290330589485244424,1290330589485244424,@BitcoinsInside," trade.io Introduces Revolutionary Blockchain Based Trade Verification Dapp - insidebitcoins.com/news/trade-io-…
",https://pbs.twimg.com/profile_images/1272921715681693698/7gu7lUmA_normal.png,2020-08-03,Trade.io
6,1292963439837511680,1292963439837511680,@hyepatriarch,"  is detrimental to our regional configurations. Aside from trade, IO, and other regional interactions, we also have a sizeable Diaspora in Minsk. Harming relations with Belarus, over their own domestic developments, at no benefit to us, harms our strategic interests.
",https://pbs.twimg.com/profile_images/1292367299710578689/cgsNZrl8_normal.jpg,2020-08-10,Trade.io
7,1293124477719519233,1293124477719519233,@Ramesh86013362,"  Capital trade.io
",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2020-08-11,Trade.io
8,1293054368355254272,1293054368355254272,@BrentHueth,"  For what it’s worth, I’m not sure ag should be thought of as a field. No consensus (or conceivably coherent) “core” & faculty in ag econ (and our students) do trade, io, immigration, public, dev, env/nr, labor, macro, etc. I guess we can thank Rep. Morrill for this breadth.
",https://pbs.twimg.com/profile_images/1315519861951541248/JhhCyulS_normal.jpg,2020-08-10,Trade.io
9,1292978661465956353,1292978661465956353,@hulkiepooh,"  un tizio mi ha appena detto che anche se 90% perdiamo il trade io dovrei ingaggiare perché ""sennò la lane è noiosa"" omg m*les pic.twitter.com/j7znWLiAQu
",https://pbs.twimg.com/profile_images/1297158941898571776/1h4Gmww4_normal.jpg,2020-08-10,Trade.io
10,1294001778137141249,1294001778137141249,@la_marii_UwU,"  Nu es pa que te ofrezcan trade io no juego adopt me casi nunca solo suelo grabar tik toks y ya XD
",https://pbs.twimg.com/profile_images/1322569279414427649/jUsY1zip_normal.jpg,2020-08-13,Trade.io
11,1295029266430808070,1295029266430808070,@cupoftaewk00kie,"  Io ho la Polaroid di Changbin ( I am you ) 👉👈
",https://pbs.twimg.com/profile_images/1321795024061870080/93vJrh7l_normal.jpg,2020-08-16,Trade.io
12,1294983328706199552,1294983328706199552,@CiroNoEuro,"  Io Repubblica Ceca
Non sapevo che mettere a ""support free trade"": io non sono contro però lo considero subordinato a tutta una serie di condizioni e proprio quella domanda era binaria, o si o no
",https://pbs.twimg.com/profile_images/1213907306666168321/RtAuiSER_normal.jpg,2020-08-16,Trade.io
13,1295780644790960128,1295780644790960128,@UofSC_Econ,"  Haimiti Aerfate (Arfat) is coming to us after receiving his Master's degree from U. of Nebraska.  He has interests in trade, IO, and public econ. pic.twitter.com/JXpp6LkQ0M
",https://pbs.twimg.com/profile_images/1278756497535627264/32mf8NyW_normal.jpg,2020-08-18,Trade.io
14,1296504898624851971,1296504898624851971,@AltcoinSensei,"  Look at the $OM team, half of them were involved in a project/exchange called Trade.io ( $tiox ), which is has completely vanished. And one of the advisors used to be working for DarcMatter (didn't even get on an exchange after raising 20m+).Wouldn't go near this.
",https://pbs.twimg.com/profile_images/1300834074618138634/O9SibhwB_normal.jpg,2020-08-20,Trade.io
16,1296780354297135105,1296780354297135105,@YT_BitES,"  Actual trade.io pic.twitter.com/j72xaTjN8b
",https://pbs.twimg.com/profile_images/1311244372348940293/tTW6HbD7_normal.jpg,2020-08-21,Trade.io
